event_number,run,event_length,TR_onset,TR_offset,transcript
1,1,86,1,87,"The email came late one afternoon as Dr. Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day. It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home. But the email's strange subject line caught her eye: ""Fellow doctor, I need your help."" It was sent by someone named Dr. John Torreson. Intrigued, Carmen began to read. Dr. Torreson said he was a classmate of Carmen's from medical school. She didn't recognize his name — but then again, she wasn't great with names. Dr. Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers. But, Dr. Torreson wrote, he needed to return to the United States on very short notice. The clinic was the villagers' only source of health care, and with Dr. Torreson leaving, the nonprofit was threatening to close it down unless a replacement doctor could be found immediately. Even if Carmen could spare a couple of months, it would be an enormous help. Dr. Torreson wrote, ""It breaks my heart to leave this place, but I really hope you consider coming to work here. I think you would find it very rewarding."""
2,1,26,88,114,"Later that night, Carmen thought it over. There was little tying her to Chicago. She had friends, a house, her Sunday morning tennis game — but all of that would be there when she got back. Besides, it was November, and the thought of the upcoming winter was enough to make a few months in the rainforest sound pretty appealing. She reached for her laptop and quickly typed her response, hitting ""send"" before she could change her mind."
3,1,56,115,171,"A week later, Carmen was boarding her plane at the Chicago airport. She was both nervous and excited. After a layover in Lima, it was a short flight to Puerto Maldonado, a small town at the edge of the Amazon jungle. As the plane started to descend, Carmen looked down eagerly at the landscape below: a carpet of blue-green trees, with a brown river snaking through it. It looked beautiful, and completely wild. Stepping out onto the runway, a blast of steamy air hit Carmen's face, filling her mouth and nostrils. Whoa, she thought to herself. Welcome to the jungle. Inside the tiny airport terminal, a man stood clutching a piece of paper with Carmen's name on it. ""Antonio,"" the man said, pointing at his chest. He motioned for Carmen to follow him. They walked out of the terminal and Carmen was once again hit by a wave of humid air."
4,1,37,172,209,"Antonio led her to a run-down motorcycle with a seat attached to the back. Carmen sat down apprehensively.  But once Antonio started driving, the breeze felt wonderful against Carmen's skin. The main road through the town was full of sights and sounds: children darted between the vehicles; women in flip-flops carried huge baskets full of goods; street vendors sold giant tropical fruits that Carmen could not name. Soon, Antonio turned onto a side street, which led down to a river. There, a boat was waiting to take her on the final leg of the journey to the remote village."
5,1,31,210,241,"Once Carmen and her suitcase were safely inside the boat, the driver set off on the river. By this time, the sun was setting, and Carmen swatted away mosquitos as the driver whistled to himself. The water was calm, the air still; Carmen suddenly felt very far from everything and everyone she knew. After what felt like a very long time, the driver turned the boat toward shore. She wondered how he had recognized their destination: there was no sign of civilization anywhere."
6,1,29,242,271,"Carmen climbed awkwardly onto the muddy riverbank, trying to keep her balance in the fading light. Just as she managed to lift her suitcase up beside her, she looked over her shoulder to see the driver was already motoring back up the river. ""Wait!"" she called out, alarmed. ""Where do I go from here?"" Her voice was drowned out by the buzzing of insects and rushing of the river. She looked around: Nothing but dense, shadowy rainforest. "
7,1,79,272,351,"Just as she was about to panic, she heard footsteps from within the brush. A man emerged from the trees, holding a lantern. When he saw Carmen, he smiled broadly. 
""Hello, Dr. Carmen!"" he said. ""I'm Juan. Juan Torres. We thank you very much for coming to serve our village."" Though he spoke with a heavy accent, his English was very good. With a sigh of relief, Carmen smiled and shook his hand. Juan led her down a narrow path through the forest. Carmen struggled to keep up, tugging her suitcase over the uneven ground. Soon, they emerged into a clearing. It was nearly pitch black now, but Carmen could make out the shapes of huts with thatched roofs. Juan ushered her toward one of them. Inside were a few pieces of simple wooden furniture: a bed frame, covered by a thin mattress, and a small table. The floor was packed dirt. Juan put the lantern on the table. ""You must be very tired from the journey,"" he said. ""You should rest now. We will see each other tomorrow."" He nodded and bowed out of the hut. As soon as Carmen sat down on the bed, she felt completely exhausted. She arranged the mosquito net around her as best she could, and fell immediately into a deep sleep."
8,1,67,353,420,"Carmen woke the next morning to sunlight streaming through the wooden slats of the hut. She had no idea how long she'd slept. She propped herself up on one elbow and squinted at her surroundings. Suddenly, she heard a rustling in the corner. A small figure stood there, holding a broom made from palm leaves. Carmen nearly screeched in shock, but stopped herself at the last moment, so that what came out was a garbled yell. The noise frightened the girl and she jumped back. ""Sorry, you startled me!"" Carmen said. The girl continued to stare at her with huge brown eyes. She looked to be around 11 or 12 years old. It dawned on Carmen that she probably didn't speak English. ""Carmen,"" Carmen said, pointing at her chest. ""Alba,"" the girl answered, pointing at her own. ""Juan?"" Carmen asked, holding up her hands, hoping the girl could lead her to the man from the night before. Nodding, Alba motioned for Carmen to follow her outside, and Carmen got her first glimpse of the village in daylight."
9,1,52,421,473,"Her hut was near what appeared to be the village center. Women stood around small fires, smoking meats and stirring soups. Children ran around them, dodging vines on the ground. A group of teenage boys was hard at work constructing a new hut. Scanning the scene, Carmen spotted Juan across the clearing, deep in conversation with a small group of men. Their clothing was more decorative than most of the other villagers', which made Carmen think they were leaders of some sort. When Juan noticed her, he whispered something to the other men, who also turned to stare at Carmen.  For a brief moment Carmen felt uncomfortable, but then Juan broke into a smile and strode over. ""Dr. Carmen, good morning!"" he said. ""I will show you to the clinic now, yes?"" ""Yes, please,"" Carmen said, eager to get started."
10,1,50,474,524,"Juan led Carmen down a short path to a hut that looked identical to her own.  Inside were two mattresses placed directly on the ground, plus a makeshift table. The only medical supplies appeared to be an old-fashioned stethoscope, a thermometer, and a half-empty box of bandages. ""Hmm, that's funny. Dr. Torreson said the clinic was well stocked…"" Carmen started to say. ""Dr. Torreson?"" Juan repeated, looking confused. ""Ah, sí, Señor Torreson, of course. The organization has promised to send us replacement supplies, but they have not arrived yet. The shipments are always being delayed, you know,"" he added apologetically. ""That's okay,"" Carmen said. She would have to make do with small bag of supplies she had brought with her until the shipment arrived."
